 TANGGAL	MEMBER CODE	SERI SURAT BERHARGA	AIDNO	NAMA NASABAH	CUSTODY CODE	INVESTOR TYPE	STATUS REKENING	POSISI REKENING	NOMINAL
19/12/2019	SRBNINIDJA	FR0042	DP-BKI	Dana Pensiun Biro Klasifika Indonesia	CR	PF	AC	+	1000000000
19/12/2019	SRBNINIDJA	FR0042	DP-BTN	DP. BTN	CR	PF	AC	+	10000000000
19/12/2019	SRBNINIDJA	FR0042	DP-POS	DP Pos Indonesia	CR	PF	AC	+	10000000000
19/12/2019	SRBNINIDJA	FR0042	DP-SUMBAR	DANA PENSIUN BPD SUMATERA BARAT	CR	PF	AC	+	10000000000
19/12/2019	SRBNINIDJA	FR0042	DP.ASDP	DANA PENSIUN ASDP	CR	PF	AC	+	68000000
19/12/2019	SRBNINIDJA	FR0042	JT-LUHUR	DP. JASA TIRTA II	CR	PF	AC	+	3000000000
19/12/2019	SRBNINIDJA	FR0042	KAL-PRIM	DP KALTIM PRIMA COAL	CR	PF	AC	+	2000000000
19/12/2019	SRBNINIDJA	FR0042	SINT-CARO	DP. Sint Carolus	CR	PF	AC	+	956000000
19/12/2019	SRBNINIDJA	FR0042	TEL-DP	DP. Telkom	CR	PF	AC	+	225000000000
19/12/2019	SRBNINIDJA	FR0043	PT-JASINDO	PT. ASURANSI JASA INDONESIA	CR	IS	AC	+	10000000000
19/12/2019	SRBNINIDJA	FR0043	170221830001	REKSA DANA INSIGHT BHINNEKA BALANCED FUND (I-BHINNEKA)	CR	MF	AC	+	3000000000
19/12/2019	SRBNINIDJA	FR0043	160207250001	DPLK BNI - MEDCO E AND P Ind	CR	PF	AC	+	5000000000
19/12/2019	SRBNINIDJA	FR0043	BNI-DP-A	DP BNI	CR	PF	AC	+	20000000000
19/12/2019	SRBNINIDJA	FR0043	DP.BAPTIS	DP Baptis	CR	PF	AC	+	2000000000
19/12/2019	SRBNINIDJA	FR0043	DP.HII	DP.HII	CR	PF	AC	+	2000000000
19/12/2019	SRBNINIDJA	FR0043	DPLK-BNI	DPLK Bank BNI	CR	PF	AC	+	5000000000
19/12/2019	SRBNINIDJA	FR0043	KAL-PRIM	DP KALTIM PRIMA COAL	CR	PF	AC	+	7797000000
19/12/2019	SRBNINIDJA	FR0043	TEL-DP	DP. Telkom	CR	PF	AC	+	102000000000
19/12/2019	SRBNINIDJA	FR0044	PERUM-SPU	PERUM JAMKRINDO	CR	CP	AC	+	10000000000
19/12/2019	SRBNINIDJA	FR0044	120179660003	PT-JASINDO 2	CR	IS	AC	+	5000000000
19/12/2019	SRBNINIDJA	FR0044	170221830001	REKSA DANA INSIGHT BHINNEKA BALANCED FUND (I-BHINNEKA)	CR	MF	AC	+	1000000000
19/12/2019	SRBNINIDJA	FR0044	LPS	LEMBAGA PENJAMIN SIMPANAN	CR	OT	AC	+	100000000000
19/12/2019	SRBNINIDJA	FR0044	160207250001	DPLK BNI - MEDCO E AND P Ind	CR	PF	AC	+	5000000000
19/12/2019	SRBNINIDJA	FR0044	BNI-DP-A	DP BNI	CR	PF	AC	+	10000000000
19/12/2019	SRBNINIDJA	FR0044	DP.BAPTIS	DP Baptis	CR	PF	AC	+	1000000000
19/12/2019	SRBNINIDJA	FR0044	JT-LUHUR	DP. JASA TIRTA II	CR	PF	AC	+	3000000000
19/12/2019	SRBNINIDJA	FR0044	TEL-DP	DP. Telkom	CR	PF	AC	+	740198000000
19/12/2019	SRBNINIDJA	FR0045	LPS	LEMBAGA PENJAMIN SIMPANAN	CR	OT	AC	+	20000000000
19/12/2019	SRBNINIDJA	FR0045	BNI-DP-A	DP BNI	CR	PF	AC	+	62500000000
19/12/2019	SRBNINIDJA	FR0045	DP-BTN	DP. BTN	CR	PF	AC	+	5000000000
19/12/2019	SRBNINIDJA	FR0045	DP-PELNI	DP PT PELNI	CR	PF	AC	+	5000000000
19/12/2019	SRBNINIDJA	FR0045	TEL-DP	DP. Telkom	CR	PF	AC	+	88000000000
19/12/2019	SRBNINIDJA	FR0046	140196250001	RDT MNC DANA TERPROTEKSI III	CR	MF	AC	+	20000000000
19/12/2019	SRBNINIDJA	FR0046	LPS	LEMBAGA PENJAMIN SIMPANAN	CR	OT	AC	+	77000000000
19/12/2019	SRBNINIDJA	FR0046	160207250001	DPLK BNI - MEDCO E AND P Ind	CR	PF	AC	+	7000000000
19/12/2019	SRBNINIDJA	FR0046	KAL-PRIM	DP KALTIM PRIMA COAL	CR	PF	AC	+	30000000000
19/12/2019	SRBNINIDJA	FR0046	TEL-DP	DP. Telkom	CR	PF	AC	+	415000000000
19/12/2019	SRBNINIDJA	FR0047	PERUM-SPU	PERUM JAMKRINDO	CR	CP	AC	+	10000000000
19/12/2019	SRBNINIDJA	FR0047	BNI-LIFEII	PT BNI LIFE INSURANCE II	CR	IS	AC	+	2000000000
19/12/2019	SRBNINIDJA	FR0047	170221830001	REKSA DANA INSIGHT BHINNEKA BALANCED FUND (I-BHINNEKA)	CR	MF	AC	+	1000000000
19/12/2019	SRBNINIDJA	FR0047	LPS	LEMBAGA PENJAMIN SIMPANAN	CR	OT	AC	+	165000000000
19/12/2019	SRBNINIDJA	FR0047	160207250001	DPLK BNI - MEDCO E AND P Ind	CR	PF	AC	+	8000000000
19/12/2019	SRBNINIDJA	FR0047	180227230001	KPD MANULIFE S/A DP FREEPORT INDO	CR	PF	AC	+	10000000000
19/12/2019	SRBNINIDJA	FR0047	BNI-DP-A	DP BNI	CR	PF	AC	+	30000000000
19/12/2019	SRBNINIDJA	FR0047	DP-SUMBAR	DANA PENSIUN BPD SUMATERA BARAT	CR	PF	AC	+	25000000000
19/12/2019	SRBNINIDJA	FR0047	DP.BAPTIS	DP Baptis	CR	PF	AC	+	1000000000
19/12/2019	SRBNINIDJA	FR0047	JT-LUHUR	DP. JASA TIRTA II	CR	PF	AC	+	6000000000
19/12/2019	SRBNINIDJA	FR0047	KAL-PRIM	DP KALTIM PRIMA COAL	CR	PF	AC	+	6000000000
19/12/2019	SRBNINIDJA	FR0047	TEL-DP	DP. Telkom	CR	PF	AC	+	769544000000
19/12/2019	SRBNINIDJA	FR0050	160207250001	DPLK BNI - MEDCO E AND P Ind	CR	PF	AC	+	1000000000
19/12/2019	SRBNINIDJA	FR0050	180227230001	KPD MANULIFE S/A DP FREEPORT INDO	CR	PF	AC	+	8000000000
19/12/2019	SRBNINIDJA	FR0050	BNI-DP-A	DP BNI	CR	PF	AC	+	25000000000
19/12/2019	SRBNINIDJA	FR0050	DP-BKI	Dana Pensiun Biro Klasifika Indonesia	CR	PF	AC	+	1000000000
19/12/2019	SRBNINIDJA	FR0050	DP-POS	DP Pos Indonesia	CR	PF	AC	+	5000000000
19/12/2019	SRBNINIDJA	FR0050	SINT-CARO	DP. Sint Carolus	CR	PF	AC	+	2000000000
19/12/2019	SRBNINIDJA	FR0050	TEL-DP	DP. Telkom	CR	PF	AC	+	325000000000
19/12/2019	SRBNINIDJA	FR0052	PERUM-SPU	PERUM JAMKRINDO	CR	CP	AC	+	10000000000
19/12/2019	SRBNINIDJA	FR0052	160207250001	DPLK BNI - MEDCO E AND P Ind	CR	PF	AC	+	7000000000
19/12/2019	SRBNINIDJA	FR0052	BNI-DP-A	DP BNI	CR	PF	AC	+	62778000000
19/12/2019	SRBNINIDJA	FR0052	DP-POS	DP Pos Indonesia	CR	PF	AC	+	25000000000
19/12/2019	SRBNINIDJA	FR0052	JT-LUHUR	DP. JASA TIRTA II	CR	PF	AC	+	2000000000
19/12/2019	SRBNINIDJA	FR0052	TEL-DP	DP. Telkom	CR	PF	AC	+	252305000000
19/12/2019	SRBNINIDJA	FR0053	120179670003	PT ASURANSI JIWASRAYA (DANA JAMINAN)	CR	IS	AC	+	43738000000
19/12/2019	SRBNINIDJA	FR0053	170217630001	PT. ASURANSI JIWA BUMIPUTERA	CR	IS	AC	+	80000000000
19/12/2019	SRBNINIDJA	FR0053	LPS	LEMBAGA PENJAMIN SIMPANAN	CR	OT	AC	+	3511684000000
19/12/2019	SRBNINIDJA	FR0053	160207250001	DPLK BNI - MEDCO E AND P Ind	CR	PF	AC	+	14000000000
19/12/2019	SRBNINIDJA	FR0053	DP.AEROWIS	DP.AEROWISATA	CR	PF	AC	+	1000000000
19/12/2019	SRBNINIDJA	FR0053	DP.ASDP	DANA PENSIUN ASDP	CR	PF	AC	+	1244000000
19/12/2019	SRBNINIDJA	FR0053	DP.HII	DP.HII	CR	PF	AC	+	3000000000
19/12/2019	SRBNINIDJA	FR0053	DP.OTSUKA	DP PT OTSUKA INDONESIA	CR	PF	AC	+	2000000000
19/12/2019	SRBNINIDJA	FR0053	DPLK-BNI	DPLK Bank BNI	CR	PF	AC	+	81358000000
19/12/2019	SRBNINIDJA	FR0053	PERTANI	DANA PENSIUN PERTANI	CR	PF	AC	+	1000000000
19/12/2019	SRBNINIDJA	FR0054	235674213	REKSADANA TERPROTEKSI SUCORINVEST PROTEKSI 4	CR	MF	AC	+	200500000000
19/12/2019	SRBNINIDJA	FR0054	140192230001	KPD SCHRODERS S/A DP FREEPORT	CR	PF	AC	+	21000000000
19/12/2019	SRBNINIDJA	FR0054	160207250001	DPLK BNI - MEDCO E AND P Ind	CR	PF	AC	+	9000000000
19/12/2019	SRBNINIDJA	FR0054	BNI-DP-A	DP BNI	CR	PF	AC	+	80000000000
19/12/2019	SRBNINIDJA	FR0054	DP-PAL	DP. PT. PAL	CR	PF	AC	+	1000000000
19/12/2019	SRBNINIDJA	FR0054	TEL-DP	DP. Telkom	CR	PF	AC	+	150000000000
19/12/2019	SRBNINIDJA	FR0056	PT.BEI	PT BURSA EFEK INDONESIA	CR	CP	AC	+	20000000000
19/12/2019	SRBNINIDJA	FR0056	1100036851	PT. ASURANSI JIWASRAYA	CR	IS	AC	+	5000000000
19/12/2019	SRBNINIDJA	FR0056	120179670003	PT ASURANSI JIWASRAYA (DANA JAMINAN)	CR	IS	AC	+	25000000000
19/12/2019	SRBNINIDJA	FR0056	160211030001	REKSA DANA TERPROTEKSI PRATAMA TERPROTEKSI V	CR	MF	AC	+	4000000000
19/12/2019	SRBNINIDJA	FR0056	160211230001	REKSADANA TERPROTEKSI  SAM DANA OBLIGASI TERPROTEKSI 4	CR	MF	AC	+	60000000000
19/12/2019	SRBNINIDJA	FR0056	170217820001	REKSADANA PRATAMA DANA CAMPURAN	CR	MF	AC	+	1000000000
19/12/2019	SRBNINIDJA	FR0056	LPS	LEMBAGA PENJAMIN SIMPANAN	CR	OT	AC	+	2849241000000
19/12/2019	SRBNINIDJA	FR0056	1100036914	DANA PENSIUN BANK PAPUA	CR	PF	AC	+	3579000000
19/12/2019	SRBNINIDJA	FR0056	160207250001	DPLK BNI - MEDCO E AND P Ind	CR	PF	AC	+	17000000000
19/12/2019	SRBNINIDJA	FR0056	180227230001	KPD MANULIFE S/A DP FREEPORT INDO	CR	PF	AC	+	300000000
19/12/2019	SRBNINIDJA	FR0056	DP-DAI	DANA PENSIUN DNP INDONESIA	CR	PF	AC	+	10000000000
19/12/2019	SRBNINIDJA	FR0056	DP-JABAR	DP BPD JABAR	CR	PF	AC	+	20000000000
19/12/2019	SRBNINIDJA	FR0056	DP-POS	DP Pos Indonesia	CR	PF	AC	+	10000000000
19/12/2019	SRBNINIDJA	FR0056	DP.OTSUKA	DP PT OTSUKA INDONESIA	CR	PF	AC	+	1000000000
19/12/2019	SRBNINIDJA	FR0056	DPLK-BNI	DPLK Bank BNI	CR	PF	AC	+	119875000000
19/12/2019	SRBNINIDJA	FR0056	PERTANI	DANA PENSIUN PERTANI	CR	PF	AC	+	500000000
19/12/2019	SRBNINIDJA	FR0057	140196250001	RDT MNC DANA TERPROTEKSI III	CR	MF	AC	+	10000000000
19/12/2019	SRBNINIDJA	FR0057	180227230001	KPD MANULIFE S/A DP FREEPORT INDO	CR	PF	AC	+	15000000000
19/12/2019	SRBNINIDJA	FR0057	BNI-DP-A	DP BNI	CR	PF	AC	+	3000000000
19/12/2019	SRBNINIDJA	FR0057	DP-BTN	DP. BTN	CR	PF	AC	+	5000000000
19/12/2019	SRBNINIDJA	FR0057	DP-POS	DP Pos Indonesia	CR	PF	AC	+	10000000000
19/12/2019	SRBNINIDJA	FR0057	TEL-DP	DP. Telkom	CR	PF	AC	+	10000000000
19/12/2019	SRBNINIDJA	FR0058	PERUM-SPU	PERUM JAMKRINDO	CR	CP	AC	+	10000000000
19/12/2019	SRBNINIDJA	FR0058	120179660003	PT-JASINDO 2	CR	IS	AC	+	20000000000
19/12/2019	SRBNINIDJA	FR0058	120179670003	PT ASURANSI JIWASRAYA (DANA JAMINAN)	CR	IS	AC	+	25000000000
19/12/2019	SRBNINIDJA	FR0058	PT-AJ INHEALTH	PT ASSR JIWA INHEALTH INDONESIA	CR	IS	AC	+	20000000000
19/12/2019	SRBNINIDJA	FR0058	PT-TRIPA	PT. ASURANSI TRIPAKARTA	CR	IS	AC	+	10000000000
19/12/2019	SRBNINIDJA	FR0058	140196250001	RDT MNC DANA TERPROTEKSI III	CR	MF	AC	+	314000000
19/12/2019	SRBNINIDJA	FR0058	150200830001	RDT INSIGHT TERPROTEKSI V	CR	MF	AC	+	7000000000
19/12/2019	SRBNINIDJA	FR0058	160207250001	DPLK BNI - MEDCO E AND P Ind	CR	PF	AC	+	16000000000
19/12/2019	SRBNINIDJA	FR0058	BNI-DP-A	DP BNI	CR	PF	AC	+	61713000000
19/12/2019	SRBNINIDJA	FR0058	DP-BSULSEL	DP. BPD SULSEL	CR	PF	AC	+	11000000000
19/12/2019	SRBNINIDJA	FR0058	DP-BTN	DP. BTN	CR	PF	AC	+	45000000000
19/12/2019	SRBNINIDJA	FR0058	DP-PAL	DP. PT. PAL	CR	PF	AC	+	2000000000
19/12/2019	SRBNINIDJA	FR0058	DP-PELNI	DP PT PELNI	CR	PF	AC	+	16000000000
19/12/2019	SRBNINIDJA	FR0058	DP-POS	DP Pos Indonesia	CR	PF	AC	+	40000000000
19/12/2019	SRBNINIDJA	FR0058	DP.BAPTIS	DP Baptis	CR	PF	AC	+	738000000
19/12/2019	SRBNINIDJA	FR0058	DPLK-BNI	DPLK Bank BNI	CR	PF	AC	+	30000000000
19/12/2019	SRBNINIDJA	FR0058	TEL-DP	DP. Telkom	CR	PF	AC	+	40000000000
19/12/2019	SRBNINIDJA	FR0059	PERUM-SPU	PERUM JAMKRINDO	CR	CP	AC	+	2658000000
19/12/2019	SRBNINIDJA	FR0059	120179660003	PT-JASINDO 2	CR	IS	AC	+	56000000000
19/12/2019	SRBNINIDJA	FR0059	120179670003	PT ASURANSI JIWASRAYA (DANA JAMINAN)	CR	IS	AC	+	105000000000
19/12/2019	SRBNINIDJA	FR0059	PT-AJ INHEALTH	PT ASSR JIWA INHEALTH INDONESIA	CR	IS	AC	+	85000000000
19/12/2019	SRBNINIDJA	FR0059	PT-ASTATA	PT. ASURANSI WAHANA TATA	CR	IS	AC	+	5000000000
19/12/2019	SRBNINIDJA	FR0059	PT-TRIPA	PT. ASURANSI TRIPAKARTA	CR	IS	AC	+	29736000000
19/12/2019	SRBNINIDJA	FR0059	140196250001	RDT MNC DANA TERPROTEKSI III	CR	MF	AC	+	91757000000
19/12/2019	SRBNINIDJA	FR0059	150200830001	RDT INSIGHT TERPROTEKSI V	CR	MF	AC	+	5000000000
19/12/2019	SRBNINIDJA	FR0059	160208030001	REKSA DANA TERPROTEKSI ASANUSA SUPREME BOND INVESTMENT	CR	MF	AC	+	3000000000
19/12/2019	SRBNINIDJA	FR0059	170216640001	REKSA DANA TERPROTEKSI INSIGHT TERPROTEKSI 10	CR	MF	AC	+	29000000000
19/12/2019	SRBNINIDJA	FR0059	170221830001	REKSA DANA INSIGHT BHINNEKA BALANCED FUND (I-BHINNEKA)	CR	MF	AC	+	6000000000
19/12/2019	SRBNINIDJA	FR0059	180226420001	REKSA DANA TERPROTEKSI TRIMEGAH TERPROTEKSI 6	CR	MF	AC	+	1500000000000
19/12/2019	SRBNINIDJA	FR0059	235674213	REKSADANA TERPROTEKSI SUCORINVEST PROTEKSI 4	CR	MF	AC	+	34239000000
19/12/2019	SRBNINIDJA	FR0059	LPS	LEMBAGA PENJAMIN SIMPANAN	CR	OT	AC	+	3989957000000
19/12/2019	SRBNINIDJA	FR0059	120186830001	DANA PENSIUN PEGAWAI BANK BPR JATIM	CR	PF	AC	+	3000000000
19/12/2019	SRBNINIDJA	FR0059	140192820001	DP.BPD SULAWESI TENGAH	CR	PF	AC	+	1000000000
19/12/2019	SRBNINIDJA	FR0059	160207250001	DPLK BNI - MEDCO E AND P Ind	CR	PF	AC	+	8000000000
19/12/2019	SRBNINIDJA	FR0059	180227230001	KPD MANULIFE S/A DP FREEPORT INDO	CR	PF	AC	+	22000000000
19/12/2019	SRBNINIDJA	FR0059	BNI-DP-A	DP BNI	CR	PF	AC	+	29311000000
19/12/2019	SRBNINIDJA	FR0059	DP-BSULSEL	DP. BPD SULSEL	CR	PF	AC	+	5500000000
19/12/2019	SRBNINIDJA	FR0059	DP-BTN	DP. BTN	CR	PF	AC	+	75000000000
19/12/2019	SRBNINIDJA	FR0059	DP-PP	DP Pmb.Perumahan	CR	PF	AC	+	4000000000
19/12/2019	SRBNINIDJA	FR0059	DP-SUMBAR	DANA PENSIUN BPD SUMATERA BARAT	CR	PF	AC	+	15000000000
19/12/2019	SRBNINIDJA	FR0059	DP.ASDP	DANA PENSIUN ASDP	CR	PF	AC	+	6000000000
19/12/2019	SRBNINIDJA	FR0059	DP.BAPTIS	DP Baptis	CR	PF	AC	+	3000000000
19/12/2019	SRBNINIDJA	FR0059	DP.OTSUKA	DP PT OTSUKA INDONESIA	CR	PF	AC	+	5500000000
19/12/2019	SRBNINIDJA	FR0059	DPJASINDO	DP Jasindo	CR	PF	AC	+	10000000000
19/12/2019	SRBNINIDJA	FR0059	DPLK-BNI	DPLK Bank BNI	CR	PF	AC	+	100531000000
19/12/2019	SRBNINIDJA	FR0059	SINT-CARO	DP. Sint Carolus	CR	PF	AC	+	1000000000
19/12/2019	SRBNINIDJA	FR0061	120179660003	PT-JASINDO 2	CR	IS	AC	+	25000000000
19/12/2019	SRBNINIDJA	FR0061	120179670003	PT ASURANSI JIWASRAYA (DANA JAMINAN)	CR	IS	AC	+	20542000000
19/12/2019	SRBNINIDJA	FR0061	PT-TRIPA	PT. ASURANSI TRIPAKARTA	CR	IS	AC	+	26913000000
19/12/2019	SRBNINIDJA	FR0061	140196250001	RDT MNC DANA TERPROTEKSI III	CR	MF	AC	+	30229000000
19/12/2019	SRBNINIDJA	FR0061	150198830001	REKSA DANA INSIGHT COMMUNITY DEVELOPMENT 2	CR	MF	AC	+	300000000
19/12/2019	SRBNINIDJA	FR0061	150200830001	RDT INSIGHT TERPROTEKSI V	CR	MF	AC	+	6000000000
19/12/2019	SRBNINIDJA	FR0061	LPS	LEMBAGA PENJAMIN SIMPANAN	CR	OT	AC	+	2761885000000
19/12/2019	SRBNINIDJA	FR0061	1100036914	DANA PENSIUN BANK PAPUA	CR	PF	AC	+	10736000000
19/12/2019	SRBNINIDJA	FR0061	160207250001	DPLK BNI - MEDCO E AND P Ind	CR	PF	AC	+	10000000000
19/12/2019	SRBNINIDJA	FR0061	BNI-DP-A	DP BNI	CR	PF	AC	+	30000000000
19/12/2019	SRBNINIDJA	FR0061	DP-BSULSEL	DP. BPD SULSEL	CR	PF	AC	+	1000000000
19/12/2019	SRBNINIDJA	FR0061	DP.ASDP	DANA PENSIUN ASDP	CR	PF	AC	+	2000000000
19/12/2019	SRBNINIDJA	FR0061	DPLK-BNI	DPLK Bank BNI	CR	PF	AC	+	66783000000
19/12/2019	SRBNINIDJA	FR0061	KAL-PRIM	DP KALTIM PRIMA COAL	CR	PF	AC	+	10000000000
19/12/2019	SRBNINIDJA	FR0062	YKK-PP	YKK PEMBANGUNAN PERUMAHAN	CR	FD	AC	+	2000000000
19/12/2019	SRBNINIDJA	FR0062	YKP-BTN	YKP. BANK TABUNGAN NEGARA	CR	FD	AC	+	30000000000
19/12/2019	SRBNINIDJA	FR0062	140196250001	RDT MNC DANA TERPROTEKSI III	CR	MF	AC	+	40020000000
19/12/2019	SRBNINIDJA	FR0062	120186830001	DANA PENSIUN PEGAWAI BANK BPR JATIM	CR	PF	AC	+	1000000000
19/12/2019	SRBNINIDJA	FR0062	130189650001	DP. Rajawali Nusantara Indonesia	CR	PF	AC	+	15000000000
19/12/2019	SRBNINIDJA	FR0062	160207250001	DPLK BNI - MEDCO E AND P Ind	CR	PF	AC	+	5000000000
19/12/2019	SRBNINIDJA	FR0062	BNI-DP-A	DP BNI	CR	PF	AC	+	60000000000
19/12/2019	SRBNINIDJA	FR0062	DP-BTN	DP. BTN	CR	PF	AC	+	60988000000
19/12/2019	SRBNINIDJA	FR0062	DP-PELNI	DP PT PELNI	CR	PF	AC	+	33812000000
19/12/2019	SRBNINIDJA	FR0062	DP-POS	DP Pos Indonesia	CR	PF	AC	+	25000000000
19/12/2019	SRBNINIDJA	FR0062	DP.AEROWIS	DP.AEROWISATA	CR	PF	AC	+	4000000000
19/12/2019	SRBNINIDJA	FR0062	DP.ASDP	DANA PENSIUN ASDP	CR	PF	AC	+	5000000000
19/12/2019	SRBNINIDJA	FR0062	DPBANKDKI	DP BANK DKI	CR	PF	AC	+	75000000000
19/12/2019	SRBNINIDJA	FR0062	DPJASINDO	DP Jasindo	CR	PF	AC	+	10000000000
19/12/2019	SRBNINIDJA	FR0063	PT.BEI	PT BURSA EFEK INDONESIA	CR	CP	AC	+	30000000000
19/12/2019	SRBNINIDJA	FR0063	120179660003	PT-JASINDO 2	CR	IS	AC	+	25000000000
19/12/2019	SRBNINIDJA	FR0063	120179670003	PT ASURANSI JIWASRAYA (DANA JAMINAN)	CR	IS	AC	+	115000000000
19/12/2019	SRBNINIDJA	FR0063	PT-ASTATA	PT. ASURANSI WAHANA TATA	CR	IS	AC	+	5000000000
19/12/2019	SRBNINIDJA	FR0063	PT-TRIPA	PT. ASURANSI TRIPAKARTA	CR	IS	AC	+	10000000000
19/12/2019	SRBNINIDJA	FR0063	140196250001	RDT MNC DANA TERPROTEKSI III	CR	MF	AC	+	550000000
19/12/2019	SRBNINIDJA	FR0063	150200830001	RDT INSIGHT TERPROTEKSI V	CR	MF	AC	+	3000000000
19/12/2019	SRBNINIDJA	FR0063	170214630001	REKSA DANA TERPROTEKSI ASANUSA DYNAMIC PROTECTED FUND	CR	MF	AC	+	3000000000
19/12/2019	SRBNINIDJA	FR0063	170218230001	REKSA DANA MAM BALANCED FUND	CR	MF	AC	+	5000000000
19/12/2019	SRBNINIDJA	FR0063	170221830001	REKSA DANA INSIGHT BHINNEKA BALANCED FUND (I-BHINNEKA)	CR	MF	AC	+	8000000000
19/12/2019	SRBNINIDJA	FR0063	LPS	LEMBAGA PENJAMIN SIMPANAN	CR	OT	AC	+	875000000000
19/12/2019	SRBNINIDJA	FR0063	160207250001	DPLK BNI - MEDCO E AND P Ind	CR	PF	AC	+	10000000000
19/12/2019	SRBNINIDJA	FR0063	DPLK-BNI	DPLK Bank BNI	CR	PF	AC	+	56743000000
19/12/2019	SRBNINIDJA	FR0063	BNISECURI	PT. BNI SECURITIES	CR	SC	AC	+	0
